page_link,page_is_about_software,page_is_software_guide,page_contains_software_guide,guide_format,guide_topic,page_content,canton
https://www.gr.ch/DE/institutionen/verwaltung/diem/awn/naturgefahren/naturgefahren-management/Seiten/3_1_4_gefahrenkarte.aspx,No,No,Yes,PDF,"Environment, agriculture and natural resources",Page discusses hazard maps and the assessment of natural dangers in various areas.,graubunden
https://www.gr.ch/DE/institutionen/verwaltung/dfg/stv/ueberuns/aktuelles/Seiten/WegleitungzurSteuererklaerung2009NP.aspx,No,No,No,N/A,N/A,"Guide to the 2009 tax declaration for natural persons available in electronic form, with distribution scheduled along with the tax declaration in January.",graubunden
https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/DE_2009-06-18_40.aspx,No,No,No,N/A,N/A,The page discusses the payment behavior of public authorities and proposes to shorten payment deadlines.,graubunden
https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/DE_2005-04-19_1280.aspx,No,No,No,N/A,N/A,"Discussion on the implementation and evaluation of a new salary statement system, addressing its bureaucratic implications and advocating for a pilot phase before its introduction.",graubunden
https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/DE_2004-10-20_1193.aspx,No,No,No,N/A,N/A,"Inquiry regarding the implementation of a new salary statement, examining its feasibility and implications for both employers and employees.",graubunden
https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/DE_2002-03-26_671_m.aspx,No,No,No,N/A,N/A,"Discusses the issue of corruption in the canton of Graubünden, Switzerland.",graubunden
https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/220421Felix10.aspx,No,No,No,N/A,N/A,Inquiry regarding spatial planning in the context of new zoning regulations in Canton Zurich and its implications for similar settlements in Canton Graubünden.,graubunden
https://www.gr.ch/DE/institutionen/parlament/PV/Seiten/20091208Felix03.aspx,No,No,No,N/A,N/A,"Discussion regarding stamp duty in the canton of Ticino on ASTRA contract works in the canton of Graubünden, exploring tax implications for Graubünden companies.",graubunden
https://raetischesmuseum.gr.ch/de/sammlung/objektdesmonats/Seiten/odm_oktober_Speichertelefon.aspx,Yes,No,No,N/A,N/A,"Discusses the ""Habimat HT 90	"" a telephone-computer with LCD screen developed in Switzerland in 1983, highlighting its features and technological advancements.",graubunden
https://klimawandel.gr.ch/de/was-tun/Seiten/20220610_Klima-Toolbox-Graub%C3%BCnden-f%C3%BCr-Gemeinden.aspx,No,No,Yes,Video,"Environment, agriculture and natural resources","A tool for municipalities to assess and address climate change impacts, integrating local economic, population, and environmental data into a model for decision-making",graubunden
https://ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-gesundheit/abteilung-gesundheitsfoerderung/elektronisches-patientendossier/,Yes,Yes,Yes,Webpage,Health,"The page provides information on the Electronic Patient Dossier (EPD), a software allowing individuals to manage and share their medical data with healthcare professionals.",appenzell_ausserroden
https://ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-soziales/abteilung-sozialhilfe-und-asyl/asyl/vollzug-rueckkehrberatung/ablehnung-oder-nichteintreten-wegweisung/,No,No,No,,,The page discusses regulations and procedures pertaining to asylum in the context of rejections or non-entries and expulsions.,appenzell_ausserroden
https://ar.ch/search/news-suchergebnis/news/verkehrsunfall-mit-personenwagen/,No,No,No,,,"The page did not provide information, it appears to be a search result or a placeholder page for news regarding a traffic accident involving a car.",appenzell_ausserroden
https://ar.ch/verwaltung/departement-bildung-und-kultur/amt-fuer-kultur/obacht-kultur/archiv/,No,No,No,,,"The page archives editions of ""Obacht Kultur"", covering topics on culture, art, and design in Appenzell Ausserrhoden.",appenzell_ausserroden
https://ar.ch/verwaltung/departement-bau-und-volkswirtschaft/tiefbauamt/mitarbeitende/,No,No,No,,,The page lists employees of the Department of Construction and Economy in Appenzell Ausserrhoden.,appenzell_ausserroden
https://ar.ch/search/news-suchergebnis/news/kollision-zwischen-zwei-autos/,No,No,No,,,"The page did not load the content related to the URL provided, likely an error page.",appenzell_ausserroden
https://ar.ch/search/news-suchergebnis/news/arbeitsintensive-pfingsten-fuer-die-kantonspolizei-appenzell-ausserrhoden/,No,No,No,,,"The page did not load the content related to the URL provided, likely an error page.",appenzell_ausserroden
https://ar.ch/verwaltung/departement-inneres-und-sicherheit/kantonspolizei/praevention/haeusliche-gewalt-stalking/,No,No,No,,,The page discusses domestic violence and stalking prevention in Appenzell Ausserrhoden.,appenzell_ausserroden
https://ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-soziales/abteilung-chancengleichheit/willkommen-im-kanton-appenzell-ausserrhoden/mobilitaet/fahrrad-und-zu-fuss/,No,No,No,,,"The page provides information about mobility, specifically cycling and walking, in Appenzell Ausserrhoden.",appenzell_ausserroden
https://ar.ch/search/news-suchergebnis/news/viamia-die-neue-berufliche-standortbestimmung-ue40/,No,No,No,,,"The page did not load the content related to the URL provided, likely an error page.",appenzell_ausserroden
https://ar.ch/verwaltung/departement-gesundheit-und-soziales/amt-fuer-soziales/abteilung-chancengleichheit/foerderung/berufswahl-nationaler-zukunftstag/,No,No,No,,,The page discusses an event aimed at informing youth about various professions to challenge gender stereotypes in career choice.,appenzell_ausserroden
https://ar.ch/verwaltung/departement-bau-und-volkswirtschaft/tiefbauamt/abteilung-mobilitaet-support/,No,No,No,,,"The page details the responsibilities of the ""Abteilung Mobilität & Support"" regarding traffic management, GIS data modules support, and other related tasks within the canton of Appenzell Ausserrhoden.",appenzell_ausserroden
https://ar.ch/search/news-suchergebnis/news/klimabericht-appenzell-ausserrhoden-ueberwiesen/,No,No,No,,,"The page did not provide specific information but led to several sources discussing a climate report by the Appenzell Ausserrhoden government. The report, approved in a government session before the summer break, emphasizes climate protection measures at the cantonal level to not only reduce greenhouse gases but also to support the regional economy and ensure sustainable energy supply.",appenzell_ausserroden
https://ar.ch/verwaltung/departement-inneres-und-sicherheit/strafanstalt-gefaengnis/strafanstalt-gmuenden/besucherinformationen/,No,No,No,,,"The page provides visitor information for Strafanstalt Gmünden, including visiting hours, registration requirements, allowed gifts, photography restrictions, behavior expectations, and directions on how to get there.",appenzell_ausserroden
https://ar.ch/verwaltung/departement-bau-und-volkswirtschaft/amt-fuer-landwirtschaft/downloads/,No,No,No,,,The page offers various manuals and guidelines pertaining to animal welfare and farming practices.,appenzell_ausserroden
https://ar.ch/verwaltung/departement-bau-und-volkswirtschaft/amt-fuer-raum-und-wald/abteilung-wald-und-naturgefahren/forstliche-planung/,No,No,No,,,The page is related to forest planning within the canton of Appenzell Ausserrhoden.,appenzell_ausserroden
https://ar.ch/verwaltung/departement-bildung-und-kultur/amt-fuer-mittel-und-hochschulen-und-berufsbildung/abteilung-berufsbildung/formulare-wichtiges/,No,No,No,,,The page provides various forms and informational material related to vocational training.,appenzell_ausserroden
https://ar.ch/search/news-suchergebnis/news/kulturfonds-beitraege-fuer-fuenf-projekte-zu-gewichtigen-themen-und-ein-obacht-kultur-zum-frieden/,No,No,No,,,The page discusses funding for five cultural projects and a culture initiative related to peace.,appenzell_ausserroden
https://ar.ch/verwaltung/departement-inneres-und-sicherheit/departementssekretariat/projekt-optimierung-gemeindestrukturen/,No,No,No,,,The page is about optimizing municipal structures.,appenzell_ausserroden
https://ar.ch/verwaltung/departement-inneres-und-sicherheit/amt-fuer-militaer-und-bevoelkerungsschutz/zivilschutz/schutzraum-und-notvorrat-haeufige-fragen/,No,No,No,,,The page provides frequently asked questions regarding shelter and emergency provisions.,appenzell_ausserroden
https://ar.ch/verwaltung/kantonskanzlei/rechtsdienst/ausserrhoder-gerichts-und-verwaltungspraxis/,No,No,No,,,The page is related to the judicial and administrative practice in Appenzell Ausserrhoden.,appenzell_ausserroden
https://ar.ch/verwaltung/departement-inneres-und-sicherheit/kantonspolizei/broschueren-statistiken-formulare/,No,No,No,,,"The page is about brochures, statistics, and forms provided by the cantonal police.",appenzell_ausserroden
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat/Portal-Kantonsrat---Ratsbetrieb-2249098-DE.html,No,No,No,,,The page provides an overview of small inquiries made in the year 2020 within the Canton of Schaffhausen's parliament.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Finanzdepartement/Steuerverwaltung/Formulare-2235884-DE.html,No,No,No,,,The page is about tax forms provided by the Canton of Schaffhausen's Financial Department.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei-1621951-DE.html,Yes,No,No,,,The page discusses a template for digitalization in the tax sector.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei-4163774-DE.html,No,No,No,,,The page discusses the implementation of systematic contact tracing.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Erziehungsdepartement/Dienststelle-Sport--Familie-und-Jugend-11223146-DE.html,No,No,No,,,The page is about special education services in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Finanzdepartement/Steuerverwaltung/Download-Steuersoftware-2236192-DE.html,Yes,No,No,,,The page is about downloading tax software provided by the Canton of Schaffhausen's Financial Department.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Finanzdepartement/Amt-f-r-Bev-lkerungsschutz-und-Armee-9887059-DE.html,No,No,No,,,The page is about alarm systems and is presented in easy-to-understand language.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen-8898181-DE.html,No,No,No,,,The page is titled 'Gezielt suchen und rasch finden' but contains no content.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei-10276783-DE.html,No,No,No,,,The page is titled 'Das kantonale Sozialamt bietet Unterstützung für Geflüchtete aus der Ukraine und für ihre Gastfamilien - Kanton Schaffhausen' but contains no content.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei-5237510-DE.html,No,No,No,,,The page is titled 'Ausbau der Kapazitäten zur Abklärung und Nachverfolgung von COVID-Fällen - Kanton Schaffhausen' but contains no content.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Gesundheitsamt/Gesundheitsf-rderung-Schaffhausen-9478246-DE.html,No,No,No,,,The page is titled 'FAMILY DAY Offene Turnhalle - Kanton Schaffhausen' but contains no content.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Erziehungsdepartement-10057717-DE.html,No,No,No,,,The page is titled 'Coronavirus – Archiv Volksschule - Kanton Schaffhausen' but contains no content.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Baudepartement/Departementssekretariat-Baudepartement/Energiefachstelle-21651-DE.html,No,No,No,,,The page is titled 'Rechtliche Grundlagen für Energie-Grossverbraucher - Kanton Schaffhausen' but contains no content.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Finanzdepartement/Steuerverwaltung/Steuerarten-28104-DE.html,No,No,No,,,The page is titled 'Verrechnungssteuer - Kanton Schaffhausen' but contains no content.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Gesundheitsamt/Gesundheitsf-rderung-Schaffhausen-10523424-DE.html,No,No,No,,,The page is titled 'Active City - Kanton Schaffhausen' but contains no content.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei-8496179-DE.html,No,No,No,,,The page is titled 'Aktuelles zur Covid-19 Impfung im Kanton Schaffhausen - Kanton Schaffhausen' but contains no content.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Erziehungsdepartement/Dienststelle-Sport--Familie-und-Jugend-12612613-DE.html,No,No,No,,,The page is titled 'Tag der politischen Bildung Schaffhausen - Kanton Schaffhausen' but contains no content.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Finanzdepartement/Steuerverwaltung/Steuerarten-28099-DE.html,No,No,No,,,"The page is about types of taxes, specifically wealth tax, in the Canton of Schaffhausen.",schaffhausen
https://sh.ch/CMS/frontend/index.jsp?contentid=2212682&language=DE&globalshared=true,No,No,No,,,"The page content could not be retrieved, it may be a placeholder or an empty page.",schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Erziehungsdepartement/Dienststelle-Primar--und-Sekundarstufe-I/Abteilung-Sonderp-dagogik/P-dagogisch-Therapeutischer-Dienst-811111-DE.html,No,No,No,,,The page is about psychomotor services in the field of special pedagogy in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei-12993665-DE.html,No,No,No,,,The page discusses the risk of forest fires and advises caution when dealing with fire.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Baudepartement/Departementssekretariat-Baudepartement/Energiefachstelle/Energief-rderprogramm-1566144-DE.html,No,No,No,,,The page is about an energy promotion program in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Volkswirtschaftsdepartement/Amt-f-r-Geoinformation-10370121-DE.html,Yes,No,No,,,"The page is about the INTERLIS Checkservice, a geoinformation service.",schaffhausen
https://sh.ch/CMS/frontend/index.jsp?contentid=1709458&language=DE&globalshared=true,No,No,No,,,"The page content could not be retrieved, it may be a placeholder or an empty page.",schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Parlament/Der-Kantonsrat/Portal-Kantonsrat---Ratsbetrieb-2249044-DE.html,No,No,No,,,The page provides an overview of small inquiries made in the year 2019 within the Canton of Schaffhausen's parliament.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Baudepartement/Departementssekretariat-Baudepartement/Energiefachstelle-1253017-DE.html,No,No,No,,,The page is about Minergie standards for planners in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Departement-des-Innern/Informatik-Schaffhausen-1305221-DE.html,Yes,No,No,,,The page is about the Information Technology department in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Baudepartement/Amt-f-r-Denkmalpflege-und-Arch-ologie/Denkmalpflege-Schaffhausen-22903-DE.html,No,No,No,,,The page is about the tasks of the monument preservation department in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei-13220912-DE.html,No,No,No,,,The page discusses moderate forest fire danger and no restrictions for the National Holiday in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Baudepartement/Strassenverkehrs--und-Schifffahrtsamt/Verlust--Diebstahl-1854788-DE.html,No,No,No,,,The page provides information on loss and theft procedures in the Canton of Schaffhausen's road traffic and shipping office.,schaffhausen
https://sh.ch/CMS/frontend/index.jsp?contentid=2196114&language=DE&globalshared=true,No,No,No,,,The page does not provide specific content for analysis.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Erziehungsdepartement/Dienststelle-Berufsbildung-und-Berufsberatung/Fachstelle-Ausbildungsbeitr-ge-185529-DE.html,No,No,No,,,The page is about the specialist office for educational contributions in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Volkswirtschaftsdepartement/Handelsregisteramt-2315651-DE.html,No,No,No,,,The page discusses the factual abolition of bearer shares in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Regierung/Staatskanzlei-3341686-DE.html,No,No,No,,,The page discusses the government's welcome of federal measures and the continued assurance of child care in schools and daycare centers in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Baudepartement/Departementssekretariat-Baudepartement/Energiefachstelle-1304662-DE.html,No,No,No,,,The page is about energy certification in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Volkswirtschaftsdepartement/Landwirtschaftsamt/Tierhaltung-1535722-DE.html,No,No,No,,,The page is about animal husbandry in the Canton of Schaffhausen.,schaffhausen
https://sh.ch/CMS/Webseite/Kanton-Schaffhausen/Beh-rde/Verwaltung/Volkswirtschaftsdepartement/Landwirtschaftsamt/Strukturverbesserungen-24521-DE.html,No,No,No,,,The page is about projects for regional development in the Canton of Schaffhausen.,schaffhausen
https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-wald/wald/bildung,No,No,No,,,The page is about educational programs related to forestry in the canton of Basel-Landschaft.,basel_land
https://www.baselland.ch/themen/p/politische-rechte/fuer-gemeindeverwaltungen-1,No,No,No,,,The page provides information on political rights for local administrations in Basel-Landschaft.,basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/sicherheitsdirektion/polizei/bewilligungen/wegweiser,No,No,No,,,The page serves as a guide for obtaining various permits from the police department in Basel-Landschaft.,basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/raumplanung/langsamverkehr/langsamverkehr,No,No,No,,,The page discusses plans and measures for promoting slow traffic in Basel-Landschaft.,basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/bildungs-kultur-und-sportdirektion/bildung/sekundarstufe-ii/berufs-studien-und-laufbahnberatung/downloadbereich,No,No,No,,,"The page offers downloadable resources for career, study, and path counseling for secondary level II education in Basel-Landschaft.",basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/amt-fur-geoinformation/geoportal/geodaten/geodatenprodukte/verkehr/wanderwege-esri-shapefile,No,No,No,,,The page provides geodata products related to hiking trails in the form of ESRI shapefiles.,basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/sicherheitsdirektion/polizei/wir-uber-uns/verkehr/verkehrstechnik,No,No,No,,,The page focuses on traffic safety measures and provides statistics for accident prevention in Basel-Landschaft.,basel_land
https://www.baselland.ch/themen/c_d/chronik-baselland/chronik-ab-2020/chronik-september-2020,No,No,No,,,"The page provides a chronicle of events in Basel-Landschaft for September 2020, covering various topics from energy to social issues.",basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/umweltschutz-energie/abfall/industrie-gewerbeabfalle,No,No,No,,,The page provides guidelines on the management of industrial and commercial waste in Basel-Landschaft.,basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/umweltschutz-energie/abfall/entsorgungsgenehmigung,Yes,Yes (webpage guide),No,Webpage,"Environment, agriculture and natural resources",The page discusses the internet-based EDV solution EGI for waste disposal permits in the Canton of Basel-Landschaft.,basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/finanz-und-kirchendirektion/steuerverwaltung/quellensteuer/abrechnung/equellensteuerabrechnung,Yes,Yes (webpage guide),No,Webpage,Finance and taxes,The page provides information on how to submit tax withholding calculations online through the E-Quellensteuerabrechnung interface.,basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/bildungs-kultur-und-sportdirektion/sport/unsere-angebote-und-anlaesse/sportamtag-challenge-1/Strecken/signalisation,No,No,No,,,The page provides information on the signaling and directions for the SPORTAMTag-Challenge routes.,basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/bildungs-kultur-und-sportdirektion/bildung/sekundarstufe-i/sekundarschule-laufental/unsere-schule/berufswahl,,,,,,"The page returned a 404 error, indicating that the content is not available.",basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/lufthygiene/lufthygiene/infos-beratung,No,No,No,,,"The page provides information on air hygiene, including guidelines on the use of environmentally friendly paints and fuels.",basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/bau-und-umweltschutzdirektion/raumplanung/kantonale-denkmalpflege/inventare/ikd/muttenz/hauptstrasse-2-4-kirchplatz-3,,,,,,"The page returned a 404 error, indicating that the content is not available.",basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/volkswirtschafts-und-gesundheitsdirektion/landw-zentrum-ebenrain/uber-uns/ortsplan,No,No,No,,,"The page provides a location plan and directions to the Ebenrain Center for Agriculture, Nature, and Nutrition.",basel_land
https://www.baselland.ch/politik-und-behorden/direktionen/sicherheitsdirektion/polizei/bewilligungen,No,No,No,,,The page provides information on speed limits and special permits for medical professionals and transport services.,basel_land
