page_link,guide_format,doc_links,page_is_software_guide,page_contains_software_guide,software_name,guide_topic,canton,software_name_chatGPT,software_name_explanation,page_content,Main Content Elements,Search Function,Images,Feedback Mechanisms,Multilingual Support,Low-frequency Jargon,Multimedia Elements,Hyperlinks,Navigation Menu,Interactive Elements,Accessibility Issues,Content Length,Instructions Divided into Sections,Tables,Lists/Enumerations,a Table of Contents,a FAQ Section,a Glossary,an Introduction Section,Installation Instructions,an Instructive Example
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/barrierefreiheit/vorgaben-zur-barrierefreiheit/barrierefreiheit-von-infografiken-und-visualisierungen.zhweb-noredirect.zhweb-cache.html?node-id=21442%3A184215&node-id=21330%3A183551&node-id=21297%3A183984,Webpage,,Yes,N/A,Vorgaben zur Barrierefreiheit,Others,zurich,,N/A,N/A,3,True,0,False,False,13,3,True,True,1,8,1196,True,0,3,True,False,False,False,False,True
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/barrierefreiheit/vorgaben-zur-barrierefreiheit/barrierefreiheit-von-videos.html,Webpage,,Yes,N/A,Vorgaben zur Barrierefreiheit,Others,zurich,,N/A,N/A,3,True,0,False,False,5,0,True,True,1,5,424,True,0,1,True,False,False,False,False,False
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/inhalte-gestalten/informationen-bereitstellen/umgang-mit-bildern-und-videos.html,Webpage,,Yes,N/A,Vorgaben zur Barrierefreiheit,Others,zurich,,N/A,N/A,3,True,0,False,False,0,1,True,True,1,5,156,True,0,0,True,False,False,False,False,True
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/designsystem/komponenten/bild.zhweb-noredirect.zhweb-cache.html?node-id=21161%3A184400&node-id=18660%3A173203,Webpage,,Yes,N/A,Vorgaben zur Barrierefreiheit,Others,zurich,,N/A,N/A,3,True,0,False,False,9,2,True,True,1,5,294,True,0,6,True,False,False,False,False,True
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/designsystem/komponenten/bildergalerie.zhweb-noredirect.zhweb-cache.html?node-id=18660%3A174760,Webpage,,Yes,N/A,Vorgaben zur Barrierefreiheit,Others,zurich,,N/A,N/A,3,True,0,False,False,5,1,True,True,1,5,430,True,0,4,True,False,False,False,False,True
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/designsystem/komponenten/iframe.zhweb-noredirect.zhweb-cache.html?node-id=18369%3A176818,Webpage,,Yes,N/A,Vorgaben zur Barrierefreiheit,Others,zurich,,N/A,N/A,3,True,0,False,False,2,1,True,True,1,5,178,True,0,3,True,False,False,False,False,True
https://www.ag.ch/de/aktuell/anhoerungen-vernehmlassungen,Webpage,,No,N/A,"AGVE-Web-Portal, Amtsblatt 4.0, eAnhörungen, eBau Aargau, E-Dossier Asylunterbringung, eKlientenadministration SHW (ELWIS) with Fachapplikation CONNET, Zisoft Web, ePolice, E-Rechnungen (ELBA), eUmzug, Erfassung Schutzraumeigentümer, JUST-VU, Lehrbetriebsportal, Smart Service Portal, Sportfonds-Gesuchsportal, Stipendienportal",E-governance and administration,aargau,,N/A,N/A,7,True,1,False,False,8,0,True,True,1,5,407,True,0,1,False,False,False,False,True,True
https://www.ag.ch/de/verwaltung/bvu/bauen/baubewilligungen/ebau-aargau,Webpage,,No,N/A,"AGVE-Web-Portal, Amtsblatt 4.0, eAnhörungen, eBau Aargau, E-Dossier Asylunterbringung, eKlientenadministration SHW (ELWIS) with Fachapplikation CONNET, Zisoft Web, ePolice, E-Rechnungen (ELBA), eUmzug, Erfassung Schutzraumeigentümer, JUST-VU, Lehrbetriebsportal, Smart Service Portal, Sportfonds-Gesuchsportal, Stipendienportal",E-governance and administration,aargau,,N/A,N/A,6,True,1,False,False,9,0,True,True,2,4,240,True,0,6,False,False,False,False,False,True
https://www.ag.ch/de/verwaltung/dfr/finanzen/e-rechnung,Webpage,,No,N/A,"AGVE-Web-Portal, Amtsblatt 4.0, eAnhörungen, eBau Aargau, E-Dossier Asylunterbringung, eKlientenadministration SHW (ELWIS) with Fachapplikation CONNET, Zisoft Web, ePolice, E-Rechnungen (ELBA), eUmzug, Erfassung Schutzraumeigentümer, JUST-VU, Lehrbetriebsportal, Smart Service Portal, Sportfonds-Gesuchsportal, Stipendienportal",E-governance and administration,aargau,,N/A,N/A,2,True,4,False,False,16,0,True,True,3,3,594,True,0,4,False,False,False,False,False,True
https://www.ag.ch/de/verwaltung/bks/berufsbildung-mittelschulen/lehre/lehrbetriebe-berufsbildner/lehrbetriebsportal?jumpto=MjIzMzQxOC9kZjA5ZjA1Ni0xODQ3LTRlZGYtYjY2MC04NjA0ZGZhN2I3ZWY,Webpage,,No,N/A,"AGVE-Web-Portal, Amtsblatt 4.0, eAnhörungen, eBau Aargau, E-Dossier Asylunterbringung, eKlientenadministration SHW (ELWIS) with Fachapplikation CONNET, Zisoft Web, ePolice, E-Rechnungen (ELBA), eUmzug, Erfassung Schutzraumeigentümer, JUST-VU, Lehrbetriebsportal, Smart Service Portal, Sportfonds-Gesuchsportal, Stipendienportal",E-governance and administration,aargau,,N/A,N/A,4,True,0,False,False,10,1,True,True,1,4,354,True,0,1,False,False,False,False,False,True
https://www.ag.ch/de/verwaltung/dvi/ueber-uns/dossiers-projekte/wissensmanagement-gemeinden-kanton,Webpage,,No,N/A,"AGVE-Web-Portal, Amtsblatt 4.0, eAnhörungen, eBau Aargau, E-Dossier Asylunterbringung, eKlientenadministration SHW (ELWIS) with Fachapplikation CONNET, Zisoft Web, ePolice, E-Rechnungen (ELBA), eUmzug, Erfassung Schutzraumeigentümer, JUST-VU, Lehrbetriebsportal, Smart Service Portal, Sportfonds-Gesuchsportal, Stipendienportal",E-governance and administration,aargau,,N/A,N/A,2,True,1,False,False,7,0,True,True,0,2,298,False,0,0,False,False,False,False,False,True
https://www.jsd.bs.ch/jsd-medien/public-newsroom/chatbot.html,Webpage,,Yes,No,civil registry office Chatbot,Legal services and conformity,basel_stadt,,,The page discusses the implementation of chatbots in the Department of Justice and Security to improve customer service.,3,True,0,False,True,52,2,True,False,0,4,2717,True,0,11,False,False,False,False,False,True
https://www.kaio.fin.be.ch/de/start/dienstleistungen/arbeitsplatz/zwei-faktor-authentifizierung--2fa-/neues-smartphone.html,Webpage,,Yes,No,Microsoft Authenticator,Social and public security,bern,Microsoft Authenticator,The page provides instructions on how to set up two-factor authentication on a new smartphone or tablet.,Provides a step-by-step guide for setting up two-factor authentication on a new smartphone or tablet.,2,True,15,False,True,5,0,True,True,1,4,565,True,0,0,True,False,False,False,False,True
https://www.kaio.fin.be.ch/de/start/dienstleistungen/arbeitsplatz/zwei-faktor-authentifizierung--2fa-/pw-reset1.html,Webpage,,Yes,No,Microsoft Authenticator,Social and public security,bern,"Microsoft Online-Kennwortzurücksetzung, Authenticator-App",The page provides a step-by-step guide on how to reset your password using two-factor authentication.,"The page provides a guide on how to reset a forgotten password using two-factor authentication, specifically mentioning the need for an Authenticator-App.",2,True,1,False,True,3,0,True,True,1,4,258,True,0,0,True,False,False,False,True,True
https://www.polizei.bs.ch/verkehr/strassenverkehr/parkieren/parksmart-basel/faq.html,Webpage,,Yes,No,ParkingApp,Others,basel_stadt,ParkSmart Basel,"The page contains FAQs about the ParkSmart Basel app, which is used for parking fee payments in Basel.","The page serves as a FAQ for ParkSmart Basel, addressing various questions about the parking payment app.",3,True,3,False,True,40,1,True,False,0,4,1533,True,0,11,True,True,False,False,True,True
https://www.sz.ch/behoerden/verwaltung/volkswirtschaftsdepartement/amt-fuer-raumentwicklung/ebau.html/11056,PDF,"https://www.sz.ch/public/upload/assets/60148/Registrierung_B%C3%BCrgerportal_eBau_v1.0.pdf?fp=1
https://www.sz.ch/public/upload/assets/56664/Anleitung_Beh%C3%B6rdenportal_eBau_v3.0.pdf?fp=1
https://www.sz.ch/public/upload/assets/57552/Anleitung_GWR-Modul_v1.0.pdf?fp=1
https://www.sz.ch/public/upload/assets/62982/Anleitung_zum_Zirkulationsmodul_v1.0.pdf?fp=2
https://www.sz.ch/public/upload/assets/60147/Anleitung_Registrierung_auf_Behoerdenportal_eBau_v2.0.pdf?fp=2
https://www.sz.ch/public/upload/assets/56463/Uebersicht_Prozessabwicklung_vom_26._Oktober_2022.pdf?fp=2
https://www.sz.ch/public/upload/assets/56462/Kurzbeschrieb_Aufgabenmodul.pdf?fp=1
https://www.sz.ch/public/upload/assets/62984/Anleitung_Dossierimporte_v1.0.pdf?fp=1
https://www.sz.ch/public/upload/assets/56461/Anleitung_eBau_Vorlagenerstellung_220706.pdf?fp=2
https://www.sz.ch/public/upload/assets/61553/Platzhalter_eBau_Vorlagen_20220706.docx?fp=1",Yes,Yes,eBau,"Maps, infrastructures and territorial planning",schwyz,eBau,"The page describes ""eBau"", an electronic building permit procedure aimed at handling building permit processes electronically in the Canton of Schwyz.","Discusses eBau, an electronic building permit procedure, and provides guides for its usage.",1,True,0,True,False,17,1,True,True,0,4,287,True,0,2,True,False,False,False,True,True
https://geoinformation.tg.ch/thurgis/thurgis-mobile-edit.html/13591,PDF,"https://geoinformation.tg.ch/public/upload/assets/150647/Sabretooth.pdf?fp=1
https://geoinformation.tg.ch/public/upload/assets/150648/ThurGIS_edit.pdf?fp=1",Yes,Yes,ThurGIS,"Maps, infrastructures and territorial planning",thurgau,"ThurGIS Mobile Edit,Sabretooth","The page introduces ThurGIS Mobile Edit, an application for iOS and Android smartphones, as well as a web application named Sabretooth for editing cantonal geodata in the office or in the field.","The page provides information about ThurGIS Mobile Edit, a geospatial application for iOS and Android, as well as a web application named Sabretooth.",3,True,0,False,False,5,0,True,True,0,0,119,False,0,0,False,False,False,False,True,False
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/oereb-kataster,"PDF, Video","https://www.ag.ch/media/kanton-aargau/dvi/dokumente/arp/vermessungsamt/oerebk/benutzeranleitung-oereb-kataster.pdf
https://www.ag.ch/media/kanton-aargau/dvi/dokumente/arp/vermessungsamt/oerebk/kurzanleitung-oereb-kataster.pdf
https://www.ag.ch/media/kanton-aargau/dvi/dokumente/arp/vermessungsamt/oerebk/benutzeranleitung-oereblex-frontend.pdf
https://www.ag.ch/media/kanton-aargau/dvi/dokumente/arp/vermessungsamt/oerebk/oereb-faltflyer.pdf",Yes,Yes,"ÖREB-Client,OEREBlex","Maps, infrastructures and territorial planning",aargau,"ÖREB-Client,OEREBlex",The page provides information on the ÖREB-Kataster and OEREBlex services for accessing property-related legal information.,Provides information on land property and offers PDF guides for using the ÖREB-Client and OEREBlex software.,4,True,3,False,False,15,1,True,True,0,3,246,True,0,0,False,False,False,False,False,True
https://www.sg.ch/bauen/geoinformation/aktuelles.html,"PDF, Webpage","https://services.geo.sg.ch/metadaten/uebersicht/GeodiensteSG_GeodienstAngebot.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/Merkblatt_GeodiensteSG_Nov2021__01-02.pdf",Yes,Yes,Geodienste,"Maps, infrastructures and territorial planning",st_gallen,,,The page discusses updates and projects related to geoinformation and mapping software in the Canton of St.Gallen.,1,True,8,False,False,34,0,True,True,2,5,1220,True,0,1,False,False,False,False,False,True
https://www.ag.ch/de/smartserviceportal/dienstleistungen?dl=geodaten-beziehen-25a98e5f-f777-4bca-92d4-3a8a8e9a0ff3_de,"PDF, Webpage",https://www.ag.ch/media/kanton-aargau/dfr/dokumente/geoportal/geodaten/geodaten-bestellen/4-2-6-2-geodatenliste.pdf,Yes,Yes,Geodatenshop,"Maps, infrastructures and territorial planning",aargau,Geodatenshop,The page provides a guide on how to download geodata through a specific application.,"The page provides a guide on how to access and download geospatial data, including costs and legal frameworks.",2,True,0,False,False,13,0,True,True,0,3,508,True,0,0,True,False,False,False,False,False
https://www.ag.ch/de/verwaltung/dfr/geoportal/online-karten,"PDF, Webpage","https://www.ag.ch/media/kanton-aargau/dfr/dokumente/geoportal/agisviewer-handbuch.pdf
https://www.ag.ch/media/kanton-aargau/dfr/dokumente/geoportal/onlinekarten-kurzuebersicht.pdf",Yes,Yes,Geoportal,"Maps, infrastructures and territorial planning",aargau,Online Karten,The page provides information on how to use the Online Karten service for various geographical data queries.,"The page provides information on how to use online maps, including features like measuring distances, printing maps, and obtaining property owner information.",5,True,1,False,False,14,0,True,True,3,5,550,True,0,9,False,False,False,False,False,True
https://www.ag.ch/de/verwaltung/bvu/bauen/baubewilligungen/ebau-aargau/ebau-haeufige-fragen-support,"PDF, Webpage",https://www.ag.ch/media/kanton-aargau/bvu/bauen/baubewilligungen/ebauaargau/ebau-aargau-benutzeranleitung-gesuchseingabe-v2-1.pdf,Yes,Yes,"eBau Aargau, Smart Service Portal","Maps, infrastructures and territorial planning",aargau,"eBau Aargau, Smart Service Portal","The page provides FAQs and support information for eBau Aargau, a digital service for building permit applications. It also mentions the Smart Service Portal for technical support.","The page provides a FAQ and support for the eBau Aargau software, which is used for electronic building permit processes.",2,True,0,False,False,8,0,True,True,2,2,357,True,0,3,False,False,False,False,False,False
https://www.agi.dij.be.ch/de/start/geoportal/datenmodelle/beschreibung-kantonaler-datenmodelle.html,"PDF, Webpage","https://geofiles.be.ch/internet/geo/dm/dm01av_be/agi-dm01-be-schulung-de.pdf
https://geofiles.be.ch/internet/geo/dm/dm01av_be/agi-dm01avbe11-de.pdf
https://oerebfiles.apps.be.ch/docs/datenmodelle/dm16/Handbuch_DM16NplBE_V1_7_20180301.pdf
https://oerebfiles.apps.be.ch/docs/datenmodelle/dm16/AnhangHandbuchDM16NplBE_de.pdf
https://oerebfiles.apps.be.ch/docs/datenmodelle/dm16/Darstellungsempfehlung_DM16_d-V4.pdf
https://oerebfiles.apps.be.ch/docs/datenmodelle/dm16/OEREBK_BE_Anleitung_Darstellungsmodell_DM16NplBE_v2_DE.pdf
https://oerebfiles.apps.be.ch/docs/datenmodelle/dm16/%C3%96REBK_BE_DokumentationQualit%C3%A4tspr%C3%BCfungenDM16_D.pdf
https://geofiles.be.ch/internet/geo/dm/dmrpe_be/DMRPE-BE-datenmodell-leitfaden-de.pdf
https://geofiles.be.ch/internet/geo/dm/dmrpe_be/RPE-EBBE-berechnung-energiebedarf-kurzfassung-2020.pdf",Yes,Yes,"DM.01-AV-BE, DM.16-Npl-BE, Nutzungsplanung_BE_V1_0, DMRPE-BE, GB2AVCapi, LKMap","Maps, infrastructures and territorial planning",bern,"DM.01-AV-BE, DM.16-Npl-BE, Nutzungsplanung_BE_V1_0, DMRPE-BE, GB2AVCapi, LKMap","The page provides detailed information on various data models used for different purposes, including land surveying, land use planning, and energy planning.",Provides descriptions and guidelines for various kanton-level data models related to mapping and infrastructure.,7,False,0,False,True,4,0,True,True,6,3,72,True,0,30,False,True,False,False,False,False
https://oereb.lu.ch/,Video,,Yes,No,ÖREB-Kataster,"Maps, infrastructures and territorial planning",lucerne,,,"The page provides information on the ÖREB Cadastre, an official system detailing public-law property restrictions in the Canton of Lucerne.",2,True,1,False,False,7,1,True,True,0,6,127,True,0,0,False,False,False,False,False,True
https://so.ch/verwaltung/bau-und-justizdepartement/amt-fuer-geoinformation/geoportal/video-anleitungen/,Video,,Yes,No,QGIS,"Maps, infrastructures and territorial planning",solothurn,QGIS,"The page offers video tutorials for using QGIS software, including data transformation and map creation techniques.",The page offers video tutorials on using QGIS for various geospatial transformations and tasks.,2,False,0,False,False,7,5,True,True,0,5,38,True,0,0,False,False,False,False,False,True
https://www.ag.ch/de/verwaltung/bvu/raumentwicklung/digitale-services/eplanung-hilfe-infos/haeufig-gestellte-fragen,Webpage,https://www.ag.ch/de/verwaltung/bvu/raumentwicklung/digitale-services/eplanung-hilfe-infos/erklaervideos,Yes,Yes,ePlanung,"Maps, infrastructures and territorial planning",aargau,"ePlanung, Smart Service Portal","The page provides comprehensive FAQs about ePlanung, a digital service for spatial planning, and mentions the Smart Service Portal for account management.","Provides a comprehensive FAQ about ePlanung, a digital service for spatial planning in the Canton of Aargau.",2,True,3,False,False,13,0,True,True,4,3,343,True,0,19,False,True,False,False,True,True
https://www.ag.ch/de/verwaltung/bvu/raumentwicklung/digitale-services/eplanung-hilfe-infos/erklaervideos,Webpage,,Yes,N/A,ePlanung,"Maps, infrastructures and territorial planning",aargau,"ePlanung, Smart Service Portal",N/A,N/A,2,True,12,False,False,6,0,True,True,3,3,137,True,0,0,False,True,False,False,True,True
https://geoportal.lu.ch/Geodaten,Webpage,"https://geoportal.lu.ch/geodaten/Anleitung
https://geoportal.lu.ch/faq",Yes,Yes,"Geodatenshop, WMS, WFS","Maps, infrastructures and territorial planning",lucerne,"Geodatenshop, WMS, WFS","The page introduces a new Geodatenshop that provides various geospatial data in multiple formats, including Web Map Services (WMS) and Web Feature Services (WFS).",The page offers a Geodata shop providing various geospatial data formats.,2,True,3,False,False,7,0,True,True,1,6,144,False,0,1,False,False,False,False,False,True
https://geoportal.lu.ch/geodaten/Anleitung,Webpage,,Yes,N/A,"Geodatenshop, WMS, WFS","Maps, infrastructures and territorial planning",lucerne,"Geodatenshop, WMS, WFS",N/A,N/A,2,True,4,False,False,15,0,True,True,0,4,466,True,0,7,False,False,False,False,True,True
https://geoportal.lu.ch/faq,Webpage,,Yes,N/A,"Geodatenshop, WMS, WFS","Maps, infrastructures and territorial planning",lucerne,"Geodatenshop, WMS, WFS",N/A,N/A,2,True,0,False,False,13,0,True,True,6,4,201,True,0,0,False,False,False,False,False,False
https://www.geo.bs.ch/mapbs/mapbs-einbinden.html,Webpage,"https://map.geo.bs.ch/static/api/apihelp/
https://www.geo.bs.ch/dam/jcr:59300b55-5503-42c7-aa3e-c4d434375d39/Parametrisierter_Aufruf_MapBS_v4.pdf",Yes,Yes,MapBS,"Maps, infrastructures and territorial planning",basel_stadt,MapBS,The page provides instructions on how to embed MapBS into websites using JavaScript API or iFrame.,"The page provides a guide on how to embed MapBS, a mapping software, into websites.",2,True,1,False,True,8,0,True,False,0,3,301,True,0,7,False,False,False,False,False,True
https://map.geo.bs.ch/static/api/apihelp/,Webpage,,Yes,N/A,MapBS,"Maps, infrastructures and territorial planning",basel_stadt,MapBS,N/A,N/A,1,True,0,False,True,58,0,True,False,33,7,982,True,0,0,False,False,False,False,False,False
https://www.geo.bs.ch/geodaten/geodienste/wmsbs/hilfe.html,Webpage,,Yes,No,"WMS, QGIS, ArcGIS, AutoCAD, Leaflet","Maps, infrastructures and territorial planning",basel_stadt,"WMS, QGIS, ArcGIS, AutoCAD, Leaflet","The page provides detailed instructions for integrating WMS services into various software platforms like QGIS, ArcGIS, AutoCAD, and Leaflet.","The page provides a guide on how to integrate WMS services into various software platforms like QGIS, ArcGIS, and AutoCAD.",3,True,3,False,True,29,0,True,False,0,4,1387,True,0,13,False,False,False,False,True,True
https://www.geo.bs.ch/geodaten/geodienste/wmtsbs/hilfe.html,Webpage,,Yes,No,"WMTS, QGIS, ArcGIS, Leaflet","Maps, infrastructures and territorial planning",basel_stadt,"WMTS, QGIS, ArcGIS, Leaflet","The page provides instructions for integrating WMTS services into various software platforms like QGIS, ArcGIS, and Leaflet.",The page provides guidance on integrating WMTS services into various GIS software.,3,True,2,False,True,20,0,True,False,0,4,635,True,0,11,False,False,False,False,False,True
https://zg.ch/de/planen-bauen/geoinformation/geoinformationen-erklaert/faq,Webpage,https://zg.ch/de/planen-bauen/geoinformation/geoinformationen-nutzen/interaktive-karten-zum-klicken,Yes,Yes,ZugMap.ch,"Maps, infrastructures and territorial planning",zug,ZugMap.ch,"The page contains frequently asked questions about the use of ZugMap.ch, including instructions for its operation.","Provides FAQs and terms related to geoinformation, including guides for using ZugMap.ch and other geodata services.",3,True,6,False,True,14,0,True,True,3,0,369,False,1,0,False,False,False,False,False,True
https://www.fr.ch/de/find/vga/richtlinien-dokumentationen-und-links-av/datenmodelle,Webpage,,No,N/A,DSK2,"Maps, infrastructures and territorial planning",freiburg,"DSK2,VGA-Express",N/A,N/A,2,True,0,True,True,16,0,True,True,0,3,288,True,0,2,True,False,False,False,False,False
https://www.fr.ch/de/find/vga/richtlinien-dokumentationen-und-links-av/stand-der-digitalen-av-geodaten,Webpage,,No,N/A,DSK2,"Maps, infrastructures and territorial planning",freiburg,"DSK2,VGA-Express",N/A,N/A,2,True,0,True,True,11,0,True,True,0,3,444,True,0,6,True,False,False,False,False,False
https://www.fr.ch/de/find/vga/richtlinien-dokumentationen-und-links-av/zugriff-auf-geodaten-der-amtlichen-vermessung,Webpage,,No,N/A,DSK2,"Maps, infrastructures and territorial planning",freiburg,"DSK2,VGA-Express",N/A,N/A,2,True,0,True,True,38,0,True,True,0,4,842,True,0,5,True,False,False,False,False,False
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-konzept-technischer-aufbau,Webpage,,No,N/A,DSK2,"Maps, infrastructures and territorial planning",freiburg,DSK2,N/A,N/A,2,True,0,True,True,16,0,True,True,0,3,203,False,0,1,True,False,False,False,False,False
https://www.fr.ch/de/raum-planung-und-bau/karten-plaene-kataster-und-geomatik/dsk2-hifle-benutzerhandbuch-dsk2/dsk2-hilfe-erstellen-und-ausdrucken-eines-akts-verbals/dks2-hilfe-leitfaden-zur-erfassung-eines-akts,Webpage,,No,N/A,DSK2,"Maps, infrastructures and territorial planning",freiburg,DSK2,N/A,N/A,2,True,1,True,True,3,0,True,True,0,3,146,False,0,2,True,False,False,False,False,True
