page_link,guide_format,doc_links,page_is_software_guide,page_contains_software_guide,software_name,guide_topic,canton,software_name_chatGPT,software_name_explanation,page_content
https://www.polizei.bs.ch/verkehr/strassenverkehr/parkieren/parksmart-basel/allgemein.html,"PDF, Video","https://www.polizei.bs.ch/dam/jcr:deda4df4-5223-43a2-a9c1-adceb5a7a716/Benutzerhandbuch_V1.5.1.pdf
https://www.polizei.bs.ch/dam/jcr:7fc3dfd8-5e8d-48cd-81d3-6bf263414bd2/KPO003_Prod_Flyer_A5_Druckboegen_Ansicht_201005.pdf
https://www.polizei.bs.ch/dam/jcr:91d840a0-1bc1-44bb-be5a-a35c33a14140/ParkSmart_Movie.mp4",No,Yes,ParkingApp,Others,basel_stadt,,,"The page provides information about ParkSmart Basel, a mobile application for parking payments."
https://www.kaio.fin.be.ch/de/start/dienstleistungen/applikationen/digitale-post-aus-der-kantonsverwaltung/verschiedene-moeglichkeiten-zum-login.html,"Video, Webpage",,Yes,No,ePost,Others,bern,,,Page explains different login methods for digital post from the cantonal administration.
https://www.kaio.fin.be.ch/de/start/dienstleistungen/applikationen/digitale-post-aus-der-kantonsverwaltung.html,"Video, Webpage",,Yes,No,ePost,Others,bern,,,Page about digital post services from the cantonal administration.
https://www.kaio.fin.be.ch/de/start/dienstleistungen/arbeitsplatz/zwei-faktor-authentifizierung--2fa-.html,"Video, Webpage",,Yes,No,Zwei-Faktor-Authentifizierung (2FA),Social and public security,bern,,,Information about two-factor authentication at the workplace.
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/barrierefreiheit/vorgaben-zur-barrierefreiheit.html,Webpage,"https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/barrierefreiheit/vorgaben-zur-barrierefreiheit/barrierefreiheit-von-infografiken-und-visualisierungen.zhweb-noredirect.zhweb-cache.html?node-id=21442%3A184215&node-id=21330%3A183551&node-id=21297%3A183984
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/barrierefreiheit/vorgaben-zur-barrierefreiheit/barrierefreiheit-von-videos.html
https://www.w3.org/TR/WCAG21/
https://www.w3.org/WAI/WCAG22/quickref/?versions=2.1#top
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/inhalte-gestalten/informationen-bereitstellen/umgang-mit-bildern-und-videos.html
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/designsystem/komponenten/bild.zhweb-noredirect.zhweb-cache.html?node-id=21161%3A184400&node-id=18660%3A173203
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/designsystem/komponenten/bildergalerie.zhweb-noredirect.zhweb-cache.html?node-id=18660%3A174760
https://www.zh.ch/de/webangebote-entwickeln-und-gestalten/inhalt/designsystem/komponenten/iframe.zhweb-noredirect.zhweb-cache.html?node-id=18369%3A176818",Yes,Yes,Vorgaben zur Barrierefreiheit,Others,zurich,,,"Guidelines and standards for ensuring accessibility (barrierefrei) in web content and applications, including requirements for texts, tables, images, PDFs, videos, and more, according to international standards WCAG 2.1 and CH-0059 Accessibility Standard."
https://www.ag.ch/de/themen/smartaargau/beispiele-smarter-dienstleistungen,Webpage,"https://www.ag.ch/de/aktuell/anhoerungen-vernehmlassungen
https://www.ag.ch/de/verwaltung/bvu/bauen/baubewilligungen/ebau-aargau
https://www.ag.ch/de/verwaltung/dfr/finanzen/e-rechnung
https://www.ag.ch/de/verwaltung/bks/berufsbildung-mittelschulen/lehre/lehrbetriebe-berufsbildner/lehrbetriebsportal?jumpto=MjIzMzQxOC9kZjA5ZjA1Ni0xODQ3LTRlZGYtYjY2MC04NjA0ZGZhN2I3ZWY
https://www.ag.ch/de/verwaltung/dvi/ueber-uns/dossiers-projekte/wissensmanagement-gemeinden-kanton",No,Yes,"AGVE-Web-Portal, Amtsblatt 4.0, eAnhörungen, eBau Aargau, E-Dossier Asylunterbringung, eKlientenadministration SHW (ELWIS) with Fachapplikation CONNET, Zisoft Web, ePolice, E-Rechnungen (ELBA), eUmzug, Erfassung Schutzraumeigentümer, JUST-VU, Lehrbetriebsportal, Smart Service Portal, Sportfonds-Gesuchsportal, Stipendienportal",E-governance and administration,aargau,,,"The page discusses various digital initiatives, including Voicebot technology, Building Information Modeling (BIM), and digital solutions for public transport and migration services."
https://sportamt.tg.ch/jugend-und-sport/neue-nds.html/14777,Webpage,https://www.jugendundsport.ch/de/themen/neue-nds/anleitungen.html,No,Yes,neue Datenbank Sport (NDS) App,Archives and document management,thurgau,neue Datenbank Sport (NDS) App,The page provides information and download links for the new sports database (NDS) mobile app available on the App Store and Google Play.,The page discusses a new sports database (NDS) and provides download links for mobile apps and instructions for J+S Coaches.
https://www.jsd.bs.ch/jsd-medien/public-newsroom/chatbot.html,Webpage,,Yes,No,civil registry office Chatbot,Legal services and conformity,basel_stadt,,,The page discusses the implementation of chatbots in the Department of Justice and Security to improve customer service.
https://www.kaio.fin.be.ch/de/start/dienstleistungen/arbeitsplatz/zwei-faktor-authentifizierung--2fa-/neues-smartphone.html,Webpage,,Yes,No,Microsoft Authenticator,Social and public security,bern,Microsoft Authenticator,The page provides instructions on how to set up two-factor authentication on a new smartphone or tablet.,Provides a step-by-step guide for setting up two-factor authentication on a new smartphone or tablet.
https://www.kaio.fin.be.ch/de/start/dienstleistungen/arbeitsplatz/zwei-faktor-authentifizierung--2fa-/pw-reset1.html,Webpage,,Yes,No,Microsoft Authenticator,Social and public security,bern,"Microsoft Online-Kennwortzurücksetzung, Authenticator-App",The page provides a step-by-step guide on how to reset your password using two-factor authentication.,"The page provides a guide on how to reset a forgotten password using two-factor authentication, specifically mentioning the need for an Authenticator-App."
https://www.polizei.bs.ch/verkehr/strassenverkehr/parkieren/parksmart-basel/faq.html,Webpage,,Yes,No,ParkingApp,Others,basel_stadt,ParkSmart Basel,"The page contains FAQs about the ParkSmart Basel app, which is used for parking fee payments in Basel.","The page serves as a FAQ for ParkSmart Basel, addressing various questions about the parking payment app."
https://rawi.lu.ch/down_loads/downloads_geo/av_handbuch/av_handbuch_stufe_kanton,PDF,"https://rawi.lu.ch/-/media/RAWI/Dokumente/Downloads/AV_Handbuch/AV_Handbuch_Stufe_Kanton/dm01avlu2401_mit_markierungen.pdf?rev=ee386000aa46403ab12e961739689220
https://rawi.lu.ch/-/media/RAWI/Dokumente/Downloads/AV_Handbuch/AV_Handbuch_Stufe_Kanton/dm01avlu2401_uml.pdf?rev=4a7a6ba11afe44c58bf30418d9f87986
https://rawi.lu.ch/-/media/RAWI/Dokumente/Downloads/AV_Handbuch/AV_Handbuch_Stufe_Kanton/erl_dm01avlu2401.pdf?rev=4a05c9d0474b4d71915e73b0a2bc5508
https://rawi.lu.ch/-/media/RAWI/Dokumente/Downloads/AV_Handbuch/AV_Handbuch_Stufe_Kanton/anl_checkch.pdf?rev=530f957ea8114908812cc6eef83a7cf4
https://rawi.lu.ch/-/media/RAWI/Dokumente/Downloads/AV_Handbuch/AV_Handbuch_Stufe_Kanton/WEIS_Technische_Grundlagen_AVGBS_Transfer.pdf?rev=e2c0bfe2ddeb40fabef82ab0791f9e25",No,Yes,"Checkservices, HO33","Maps, infrastructures and territorial planning",lucerne,"Checkservices, HO33","The page provides comprehensive guidelines, instructions, and recommendations for official surveying in the Canton of Lucerne. It includes various directives and manuals for data models and technical foundations.",The page provides guidelines and instructions related to geoinformation and official surveying in the Canton of Luzern.
https://www.sg.ch/bauen/geoinformation/gi/geodienste/einbindung.html,PDF,"https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWMS_Geomedia.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWMTS_Geomedia.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWFS_Geomedia.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWMS_QGIS.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWMTS_QGIS.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWFS_QGIS.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWMS_ArcMapArcCatalog.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWMTS_ArcMapArcCatalog.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWFS_ArcMapArcCatalog.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWMS_ArcGISPro.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWMTS_ArcGISPro.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWFS_ArcGISPro.pdf
https://services.geo.sg.ch/wss/service/metadaten/guest/uebersicht/GeodiensteSG_EinbindungWMS_ArcGISEarth.pdf",No,Yes,"ESRI ArcMap, ArcGIS Pro, ArcGIS Earth, QGIS, GeoMedia Desktop","Maps, infrastructures and territorial planning",st_gallen,"ESRI ArcMap, ArcGIS Pro, ArcGIS Earth, QGIS, GeoMedia Desktop","The page provides instructions for integrating the geoservices of the Canton of St.Gallen into various GIS systems such as ESRI ArcMap, ArcGIS Pro, ArcGIS Earth, QGIS, and GeoMedia Desktop.",The page provides guides on how to integrate geoservices of the Canton of St. Gallen into various GIS systems like ESRI ArcMap and QGIS.
https://zg.ch/de/planen-bauen/grundbuch/dienstbarkeiten/dienstbarkeitsplan,PDF,https://zg.ch/dam/jcr:c89456d8-b2e8-47b6-b22b-42db1fe85180/Dienstbarkeitspl%C3%A4ne%20aus%20ZugMaps.pdf,No,Yes,ZugMap.ch,"Maps, infrastructures and territorial planning",zug,ZugMap.ch,"The page provides information on creating a servitude plan using the ZugMap.ch platform, which is necessary for the registration of certain rights in the land registry.","Provides guidelines for creating easement plans using ZugMap.ch, including requirements and accepted formats."
https://www.zh.ch/de/mobilitaet/transportbewilligungen/personentransporte/bewilligung-personenbefoerderung/gesuch-fuer-personenbefoerderung-einreichen.html,PDF,https://www.zh.ch/content/dam/zhweb/bilder-dokumente/themen/mobilitaet/transportbewilligungen/personenbefoerderung/KTZH_AFM_Gesuchsformular_Personenbefoerderung_Anleitung_Google_Maps.pdf,No,Yes,Google Maps,"Maps, infrastructures and territorial planning",zurich,,,"The page provides a detailed guide on how to submit an application for a passenger transport permit in the canton of Zurich. It includes instructions on filling out the form, creating a route plan with Google Maps, and submitting the application via email."
https://www.ur.ch/_rte/publikation/8972,PDF,https://www.ur.ch/_docn/92828/Kurzanleitung_geo.ur.ch_28.07.2017.pdf,No,Yes,Geo Uri,"Maps, infrastructures and territorial planning",uri,geo.ur.ch,The page provides a user guide for the geo.ur.ch platform.,"The page provides a PDF guide for Geo Uri, a software related to mapping and territorial planning."
https://www.sz.ch/behoerden/verwaltung/volkswirtschaftsdepartement/amt-fuer-landwirtschaft/landwirtschaftliche-geodaten.html/11223,PDF,https://www.sz.ch/public/upload/assets/64858/AgriGIS%20Export%20User.pdf?fp=1,No,Yes,"Geoportal Kanton Schwyz,WebGIS,agriPortal/agriGIS","Maps, infrastructures and territorial planning",schwyz,"Geoportal Kanton Schwyz,WebGIS,agriPortal/agriGIS",The webpage provides access to agricultural geodata through the Geoportal Kanton Schwyz and mentions the use of WebGIS for viewing geodata,The page provides information on agricultural geodata in the Canton of Schwyz.
https://www.sz.ch/amt-fuer-gewaesser/gewaesserschutz/siedlungswasserwirtschaft/generelle-entwaesserungsplanung/tp-datenbewirtschaftung.html/10866,PDF,"https://www.sz.ch/public/upload/assets/64731/Wegleitung_GEP-Datenbewirtschaftung_SZ.pdf?fp=3
https://www.sz.ch/public/upload/assets/64689/GEP%20Prozess%20Datenbewirtschaftung%201.pdf?fp=3
https://www.sz.ch/public/upload/assets/64700/GEP%20Prozess%20Datenbewirtschaftung%202.pdf?fp=2
https://www.sz.ch/public/upload/assets/64706/GEP%20Umsetzung%20Wegleitung%20Datenbewirtschaftung_Textl.%20Erl%C3%A4uterungen%20zum%20Ablauf_2023-01-19.pdf?fp=2",No,Yes,GEP,"Maps, infrastructures and territorial planning",schwyz,,,Discusses the management of data related to general drainage planning in the canton of Schwyz.
https://www.sz.ch/behoerden/verwaltung/volkswirtschaftsdepartement/amt-fuer-raumentwicklung/ebau.html/11056,PDF,"https://www.sz.ch/public/upload/assets/60148/Registrierung_B%C3%BCrgerportal_eBau_v1.0.pdf?fp=1
https://www.sz.ch/public/upload/assets/56664/Anleitung_Beh%C3%B6rdenportal_eBau_v3.0.pdf?fp=1
https://www.sz.ch/public/upload/assets/57552/Anleitung_GWR-Modul_v1.0.pdf?fp=1
https://www.sz.ch/public/upload/assets/62982/Anleitung_zum_Zirkulationsmodul_v1.0.pdf?fp=2
https://www.sz.ch/public/upload/assets/60147/Anleitung_Registrierung_auf_Behoerdenportal_eBau_v2.0.pdf?fp=2
https://www.sz.ch/public/upload/assets/56463/Uebersicht_Prozessabwicklung_vom_26._Oktober_2022.pdf?fp=2
https://www.sz.ch/public/upload/assets/56462/Kurzbeschrieb_Aufgabenmodul.pdf?fp=1
https://www.sz.ch/public/upload/assets/62984/Anleitung_Dossierimporte_v1.0.pdf?fp=1
https://www.sz.ch/public/upload/assets/56461/Anleitung_eBau_Vorlagenerstellung_220706.pdf?fp=2
https://www.sz.ch/public/upload/assets/61553/Platzhalter_eBau_Vorlagen_20220706.docx?fp=1",Yes,Yes,eBau,"Maps, infrastructures and territorial planning",schwyz,eBau,"The page describes ""eBau"", an electronic building permit procedure aimed at handling building permit processes electronically in the Canton of Schwyz.","Discusses eBau, an electronic building permit procedure, and provides guides for its usage."
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte.html,PDF,"https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_downloadlist/DownloadListPar/sgch_download.ocFile/Geoportal%20Uebersicht%20Naturgefahrenkarte.pdf
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download.ocFile/01_SG_WL_Einleitung_201513.pdf
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_1204027373.ocFile/02_SG_WL_Begriffe_20151.pdf
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_1859781262.ocFile/03_SG_WL_Objektkategorien_Schutzziele_20081.pdf
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_1229093897.ocFile/06_SG_WL_Ph%C3%A4nomene_20151.pdf
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_2076442045.ocFile/08_SG_WL_Gefahrenkarte_20151.pdf
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_2100141787.ocFile/09_SG_WL_Risiken_Schutzdefizite_20151.pdf
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_1025521945.ocFile/13%20SG%20WL%20DTM%20Modelldokumentation.pdf
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_131007796.ocFile/DTM_NG_Weisung_20230207.pdf
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download_348921327.ocFile/14_SG_WL_Datenbeschreibung_2020.pdf
https://www.sg.ch/umwelt-natur/naturgefahren/gefahrenkarte/_jcr_content/Par/sgch_accordion_list/AccordionListPar/sgch_accordion_1410403651/AccordionPar/sgch_downloadlist/DownloadListPar/sgch_download.ocFile/Erfassungshandbuch%20StorMe%203.0.pdf",No,Yes,Geoportal,"Maps, infrastructures and territorial planning",st_gallen,,,"The page provides information on hazard maps in the Canton of St.Gallen, detailing potential natural risks like floods and landslides."
https://www.sg.ch/bauen/geoinformation/vermessung/kantonschecker.html,PDF,https://www.sg.ch/bauen/geoinformation/vermessung/kantonschecker/_jcr_content/Par/sgch_downloadlist/DownloadListPar/sgch_download.ocFile/Benutzung_KantonsChecker_Anleitung_206.pdf,No,Yes,KantonsChecker (MOCHECKSG),"Maps, infrastructures and territorial planning",st_gallen,KantonsChecker (MOCHECKSG),"The page describes the KantonsChecker (MOCHECKSG), an online service for checking datasets of the official survey in the canton of St.Gallen's data model.",The page offers an online service called KantonsChecker for verifying official survey data sets in the Canton of St.Gallen.
https://www.gva.bs.ch/geoinformation/interpolation-lv95.html,PDF,https://www.gva.bs.ch/dam/jcr:606a127f-d902-433e-85e7-a6be5345bd56/2021_GeoSuite-Interpolation_Kurzanleitung.pdf,No,Yes,GeoSuite,"Maps, infrastructures and territorial planning",basel_stadt,,,Discusses the GeoSuite software by swisstopo for coordinate transformations.
https://www.gr.ch/DE/institutionen/verwaltung/diem/awn/naturgefahren/naturgefahren-management/Seiten/3_1_3_ereigniskataster.aspx,PDF,"https://www.gr.ch/DE/institutionen/verwaltung/diem/awn/dokumentenliste_afw/3_1_3_anleitung_mapservice.pdf
https://www.gr.ch/DE/institutionen/verwaltung/diem/awn/dokumentenliste_afw/3_1_3_kurzinfo_ereigniskataster.pdf",No,Yes,Mapservice,"Maps, infrastructures and territorial planning",graubunden,,,Information about geoservices
https://www.fr.ch/de/articles/5000,PDF,"https://www.fr.ch/sites/default/files/2018-10/regbl-catalogue_caracteres_batiments_et_logements_v4.0-fr-2017-30.08.17_de_0.pdf
https://www.fr.ch/sites/default/files/2018-10/Mode_demploi_RegBL_01.10.2011_avec_projet_-_communes_de1.pdf",No,Yes,GWR,"Maps, infrastructures and territorial planning",freiburg,,,"The page provides documents related to the Building and Housing Register (GWR), including guidelines and a feature catalog."
https://www.bsm.sid.be.ch/de/start/themen/bevoelkerungsschutz-zivilschutz/gefaehrdung.html,PDF,https://www.bsm.sid.be.ch/content/dam/bsm_sid/dokumente/de/bev%c3%b6lkerungsschutz/gefaehrdungsanalyse/Anleitung_Geoportal_Gefahrenanalyse_DE.pdf,No,Yes,Geoportal,"Maps, infrastructures and territorial planning",bern,,,Information about the Geoportal
https://www.bs.ch/publikationen/geo/Organisatorische-Wegleitung-Geobasisdaten-Basel-Stadt.html,PDF,https://www.bs.ch/dam/jcr:96c7ad68-47b4-408c-a4ec-ba7768a7ec06/Organisatorische%20Wegleitung%20Geobasisdaten%20BS.pdf,No,Yes,Geobasis,"Maps, infrastructures and territorial planning",basel_stadt,,,The page discusses organizational processes and responsibilities for Geobasis data according to federal and cantonal law.
https://www.agi.dij.be.ch/de/start/geoportal/geodienste/nutzung-von-geodiensten.html,PDF,"https://www.agi.dij.be.ch/content/dam/agi_dij/dokumente/de/agi-dienste-merkblatt-geodienste-de.pdf
https://www.agi.dij.be.ch/content/dam/agi_dij/dokumente/de/agi-dienst-kurzanleitung-einbindung-wms-de.pdf",No,Yes,Geoportal,"Maps, infrastructures and territorial planning",bern,,,Page about the usage of geoservices.
