page_link,canton,page_content,software_name,page_is_about_software,page_is_software_guide,page_contains_software_guide,guide_format,guide_topic
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/stellensuchende-arbeitslose/jobsuche/wie-bewerbe-ich-mich-richtig,aargau,The page offers tips and guidelines for job applicants on how to prepare effective applications and interviews.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/fachkraefte/informationen-kontaktstellen,aargau,"The webpage discusses the shortage of skilled professionals in various sectors, including IT, but does not provide a guide or software-related content.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/aktuell/blog/blog-archiv?dc=b31ff5c6-8782-452b-b6d6-8fabb976598e_de,aargau,Discusses the concept of Metaverse and its applications in healthcare through games developed by Aargauer Spieleentwickler.,,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/aktuell/blog/blog-archiv?dc=af03905c-3850-48af-a929-cfa09d490876_de,aargau,Discusses the use of Augmented Reality in various projects for process optimization and visual communication.,,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/aktuell/blog/blog-archiv?dc=9af97fa5-b505-476c-9c4a-c8a889b1be2d_de,aargau,"The page discusses the digital transformation of public services through the Smart Service Portal, focusing on customer-centricity and process optimization.",,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/aktuell/blog/blog-archiv?dc=95febeb4-de0e-4708-af6e-6251e3513daa_de,aargau,"Discusses ""ZeroAdmin,"" a web-based tool that autonomously creates offers based on digital drawings of models or components.",,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/aktuell/blog/blog-archiv?dc=7bc0f137-1b58-4653-aa64-368c16f81699_de,aargau,Discusses UAV-System technology and software for drone control.,,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/aktuell/blog/blog-archiv?dc=5186da89-e805-4b35-9cf0-b925ee547b11_de,aargau,"The page discusses the Work Life Aargau initiative, aimed at making the Aargau work location more attractive and providing a platform for employers to present themselves to skilled workers.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/aktuell/blog/blog-archiv?dc=3f7baafd-e438-4c23-be36-8e51a5de49d2_de,aargau,"Discusses the growth and activities of a robotics automation company, including software solutions.",,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/standortfoerderung/aktuell/blog/blog-archiv?dc=0d7f7802-894a-428f-a2df-e57f5178a4c4_de,aargau,"The page discusses bmc consulting AG's focus on software development and digitalization, particularly their new product for document management.",,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/handelsregister/formulare-informationen/kollektivgesellschaft,aargau,The page provides forms and information related to the registration and modification of partnerships in the trade register.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/handelsregister/formulare-informationen/einzelunternehmen,aargau,Provides forms and information for registering or modifying a sole proprietorship in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/fachkraefte/monitoring-zum-fachkraeftemangel,aargau,The page discusses the shortage of skilled workers in various professions in the region of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/arbeitnehmende/arbeitsbedingungen/jugendarbeit,aargau,The page discusses regulations and guidelines for the protection of young workers.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/wirtschaft-arbeit/arbeitnehmende/arbeitsbedingungen/gesundheitsschutz,aargau,The page focuses on health protection in the workplace and how employees can report inadequate conditions.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/ueber-uns/organisation/generalsekretariat/haeusliche-gewalt/coronavirus-1,aargau,The page discusses the impact of the Coronavirus on domestic violence and offers resources for support.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/ueber-uns/dossiers-projekte/risikomanagement-einwohnerregister-(ers),aargau,Discusses the risks and management strategies related to the software used for the cantonal resident register.,,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/strassenverkehr/koerperbehinderung-verkehrsmedizin/koerperbehinderung/fahrzeug-fuehren-mit-mobilitaetsbehinderung,aargau,"The page provides information on driving with a mobility impairment, including the process for obtaining a learner's permit and potential vehicle modifications.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/strassenverkehr/formulare,aargau,"Provides various forms and guidelines related to road traffic, driving licenses, and vehicle registration.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/strafverfolgung-strafvollzug/jva-lenzburg/portrait,aargau,"The page provides an overview of the JVA Lenzburg prison, its mission, and the services it offers, including security measures and staff training.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/strafverfolgung-strafvollzug/jva-lenzburg/gewerbe,aargau,"Discusses various vocational and industrial activities within the prison system, such as bakery, bookbinding, and printing.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/persoenliches-zivilstandswesen/zivilstandsfragen/meldung-auslaendisches-ereignis,aargau,The webpage returned a 404 error.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/migration-integration/integration/kantonales-integrationsprogramm/verstaendigung-und-gesellschaftliche-integration,aargau,Discusses the goals and measures for social integration and intercultural understanding in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/kantonspolizei/verkehr-und-umwelt/verkehr,aargau,The page provides information on traffic and environmental issues managed by the Cantonal Police of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/kantonspolizei/praevention/betrug,aargau,"Discusses various types of fraud, including telephone scams and online scams, with a brief mention of fake Microsoft support scams.",,,No,No,,
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/ech-0134/bestellung-sedex-id,aargau,"Provides information on how to order a Sedex-ID for receiving messages, particularly for tax offices.",,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/informatisiertes-grundbuch/ech-0134,aargau,Discusses the requirements and procedures for municipalities to receive land registry notifications via eCH-0134 compatible software.,,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/grundstueckerwerb-durch-auslaender/uebersicht,aargau,The page provides information and guidelines on the acquisition of real estate in Switzerland by foreign individuals.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/grundbuch-vermessung/grundbuch/grundstueckerwerb-durch-auslaender/haeufige-fragen,aargau,The page provides information about regulations and frequently asked questions regarding the acquisition of real estate by foreigners in Switzerland.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/gemeindeaufsicht/rechtsaufsicht/kreissschreiben-weisungen-und-empfehlungen,aargau,"The page offers various guidelines and circulars related to municipal governance, including finance and legal matters.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/gemeindeaufsicht/gemeindezusammenarbeit/gemeindezusammenschluesse/vorgehen-bei-zusammenschlussprojekten,aargau,"Discusses the procedure for municipal mergers, including project organization and legal aspects.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/gemeindeaufsicht/gemeindezusammenarbeit/gemeindezusammenschluesse/unterstuetzung-durch-kanton,aargau,Discusses financial and legal support provided by the canton for municipal mergers.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/gemeindeaufsicht/finanzaufsicht/finanz-rechnungswesen/vorlagen,aargau,The page provides various financial templates and documents for accounting and financial management.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dvi/gemeindeaufsicht/fachstelle-datenaustausch/einwohnerregister-(ers)/qualitaetskontrolle,aargau,"The page discusses quality assurance for communal and cantonal resident and object registers, including software updates.",,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dvi/gemeindeaufsicht/fachstelle-datenaustausch/einwohnerregister-(ers)/einwohnerregister-(ers)-uebersicht,aargau,The page discusses the electronic retrieval of resident data for public and private entities for legal purposes.,Sedex,No,No,Yes,PDF,
https://www.ag.ch/de/verwaltung/dgs/verbraucherschutz/lebensmittelkontrolle/lebensmittelinspektorat/merkblaetter-lebensmittelinspektorat,aargau,The page provides guidelines on safe handling of food.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/verbraucherschutz/export-und-zertifikate,aargau,"The page provides information on export certificates and guidelines for various types of goods, including food and cosmetics.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/verbraucherschutz/chemie-biosicherheit/stoerfallvorsorge/formulare,aargau,The page provides various forms and guidelines related to emergency preparedness for chemical incidents in the Kanton Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/verbraucherschutz/chemie-biosicherheit/einsatzplanung,aargau,"Discusses the planning and preparation for emergency situations, specifically in the context of chemical safety.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/verbraucherschutz,aargau,"The content could not be fully retrieved, thus a conclusive analysis is not possible.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/ueber-uns/dossiers-projekte/aktivtag-lernende,aargau,"The page describes an activity day for learners in the Canton of Aargau, focusing on social interactions and community service.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/militaer-bevoelkerungsschutz/zivilschutz/zivilschutzausbildung/grundfunktion-betreuer,aargau,"The page provides information on the role of a caregiver in emergency situations, including possible further training options in various functions.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/militaer-bevoelkerungsschutz/bevoelkerungsschutz/katastrophenvorsorge-(katavo)/verhaltensempfehlungen/trockenheit-waldbrandgefahr,aargau,The page provides general recommendations for behavior during dry conditions and wildfire risks.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/militaer-bevoelkerungsschutz/bevoelkerungsschutz/katastrophenvorsorge-(katavo)/verhaltensempfehlungen/sirenensignale,aargau,Provides guidelines on how to respond to different types of siren alarms for emergency situations.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/militaer-bevoelkerungsschutz/bevoelkerungsschutz/katastrophenvorsorge-(katavo)/verhaltensempfehlungen/kkw-stoerfall/evakuierung,aargau,"Provides guidelines for evacuation, including what to do before leaving the house and what to take with you.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesundheit/kantonsaerztlicher-dienst/rettungswesen/first-responder-kanton-aargau,aargau,"The page discusses the First Responder system in the canton of Aargau, including guidelines and the use of Automated External Defibrillators (AEDs).",,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesundheit/kantonsaerztlicher-dienst/coronavirus/anforderungen-fuer-den-betrieb-von-testzentren/durch-aerzte-apotheker-und-laborleiter-gefuehrte-testzentren,aargau,The page outlines the requirements for operating COVID-19 test centers in the Kanton Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesundheit/gesundheitsfoerderung-praevention/psychische-gesundheit/interventionen-und-angebote/gesund-im-wald,aargau,Discusses the health benefits of spending time in the forest and promotes the Mein Waldschatz initiative for mental well-being.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesundheit/gesundheitsfoerderung-praevention/psychische-gesundheit/angebote-fuer-die-oeffentlichkeit-kampagnen/tipps-fuer-den-alltag,aargau,"The page offers tips and resources for maintaining mental health, particularly during challenging times.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesundheit/gesundheitsberufe/berufsausuebungsbewilligungen/zahnarzt-zahnaerztin,aargau,"Provides information on the requirements and procedures for practicing as a dentist in the canton of Aargau, including necessary permits and forms.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesellschaft/soziales/service-fuer-gemeinden-behoerden,aargau,"The page provides information on social services, including various forms and guidelines, but does not relate to software.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesellschaft/soziales/handbuch-soziales/23-elternschaftsbeihilfe/23-4-berechnung-der-elternschaftsbeihilfe,aargau,Discusses the calculation of parental benefits in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesellschaft/familie/soziale-teilhabe-und-partizipation/begegnungsorte-fuer-familien/rueckblick-veranstaltung-begegnungsorte-fuer-familien,aargau,The page discusses community meeting places for families and their importance for child development.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesellschaft/familie/soziale-teilhabe-und-partizipation/begegnungsorte-fuer-familien,aargau,The page discusses social participation and meeting places for families in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesellschaft/familie/privatpersonen/angebotsuebersicht-fruehe-kindheit/heilpaedagogische-frueherziehung,aargau,The page provides information on early special education services for infants and young children with disabilities or developmental issues.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dgs/gesellschaft/alter/aeltere-bevoelkerung/wanderinstallation-alt,aargau,"The page discusses a traveling installation about aging, offering technical details and scheduling information but does not relate to software.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/ueber-uns/organisation/kantonales-steueramt,aargau,The page is about the Cantonal Tax Office of Aargau and its various functions and departments.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/ueber-uns/organisation/informatik-aargau,aargau,"The page provides an overview of the Informatik Aargau department, responsible for the strategy and operation of central IT services in the Canton of Aargau.",,Yes,No,No,,
https://www.ag.ch/de/verwaltung/dfr/steuern/quellensteuer/arbeitgebende/tarife-wegleitungen,aargau,The page provides information on tax rates and guidelines for employers in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/steuern/quellensteuer/arbeitgebende/anmeldeformular,aargau,The page content is insufficient for a detailed summary.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/steuern/quellensteuer/arbeitgebende,aargau,Provides information on withholding tax rates and procedures for employers in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/steuern/natuerliche-personen/steuerthemen/steuerpflichten,aargau,"The page provides information on tax obligations, including various PDF guides related to taxation.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/steuern/natuerliche-personen/steuerthemen/erwerbstaetigkeit-abzuege,aargau,The page provides information on tax deductions related to employment income.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/steuern/natuerliche-personen/merkblaetter-richtlinien,aargau,The page provides various guidelines and directives related to taxation for natural persons.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/steuern/natuerliche-personen/formulare-broschueren,aargau,Provides tax forms and guides for natural persons in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/steuern/juristische-personen/merkblaetter-richtlinien,aargau,The page provides guidelines and forms related to taxation for legal entities.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/statistik/erhebungen/bildungsstatistik/step-i-regelschulen,aargau,"Provides information on data collection for regular schools, including deadlines and procedures for data entry.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/landwirtschaft/ressourcenschutz/stofflicher-gewaesserschutz/hof-recyclingduenger,aargau,"The page provides guidelines on the efficient use of farm and recycling fertilizers, focusing on nutrient balance and legal requirements.",,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/landwirtschaft/landwirtschaftliches-bauen/baugesuchseingabe,aargau,The page provides information and forms for submitting building applications related to agriculture in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/landwirtschaft/direktzahlungen-beitraege/beitragsarten/biodiversitaetsbeitraege,aargau,The page discusses biodiversity contributions in agriculture in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/landwirtschaft/boden-pachtrecht/pachtrecht/pachtzins,aargau,Discusses the legal foundations and calculations for agricultural lease rates in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/dfr/geoportal/agis-netzwerk,aargau,"The page describes the AGIS Service Center's role in providing geoinformation infrastructure, including GIS software and licensing.",,Yes,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/umwelt/umweltdaten-portal-envis,aargau,"Discusses EnVIS, a WebGIS application for environmental data monitoring and analysis.",EnVIS,Yes,Yes,Yes,"Webpage, Video",
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/umwelt/oberflaechengewaesser/hallwilersee/neobiota-schutzmassnahmen-fuer-den-hallwilersee,aargau,Discusses protective measures against invasive species in the Hallwilersee lake.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/umwelt/merkblaetter-und-vollzugshilfe,aargau,"Provides various guidelines and informational brochures related to environmental protection, waste management, and other topics.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/umwelt/grundwasser/grundwassernutzung-schutzzonen,aargau,"The page discusses various aspects of groundwater use and protection zones, including regulations and documentation.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/umwelt/boden/pruefperimeter-bodenaushub-chemischer-bodenschutz,aargau,Discusses the guidelines and regulations for soil excavation and chemical soil protection in the canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/umwelt/belastete-standorte-altlasten/kataster-der-belasteten-standorte,aargau,The page provides information on contaminated sites and their impact on the environment.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/umwelt/abfallwirtschaft/sonderabfaelle,aargau,"The page provides information on the special treatment required for hazardous waste, including regulations and procedures for disposal.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/natur-und-landschaftsschutz/natur-im-siedlungsraum/klimaoase,aargau,"Discusses the concept of ""Klimaoase,"" a tree-planting initiative aimed at mitigating the effects of climate change in urban areas.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/natur-und-landschaftsschutz/natur-im-siedlungsraum/beratung-und-hilfsmittel,aargau,"The page offers consultation and tools for sustainable green space management and nature in urban areas, primarily targeting private individuals, municipalities, and companies.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/natur-und-landschaftsschutz/arten-und-lebensraeume/pflege-und-unterhalt/beitragswesen-naturschutz,aargau,Discusses funding and support for nature and landscape conservation projects in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/natur-und-landschaftsschutz/aktiv-fuer-natur-und-landschaft/angebot-fuer-gemeinden/nachhaltiges-gruen-in-aargauer-gemeinden,aargau,The page offers information on how municipalities can make the maintenance of public green spaces more sustainable.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/nachhaltige-entwicklung/nachhaltigkeit-in-gemeinden,aargau,"The page focuses on sustainable development in municipalities, offering information on funding opportunities and networking events.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/hochwasserschutz-gewaesser/hydrometrie/projekte,aargau,"The page discusses various projects related to hydrometry, including the use of software for data collection and analysis.","EnVIS, WISKI",Yes,No,Yes,PDF,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/hochwasserschutz-gewaesser/hochwasser-pikettdienst,aargau,"The webpage provides information about the flood emergency service in the Canton of Aargau, including its organization and responsibilities.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/umwelt-natur-landschaft/hochwasserschutz-gewaesser/gefahrenkarte-hochwasser/gefahrenkarte-nach-untersuchungsgebiet,aargau,The page provides flood hazard maps and technical reports for various regions in the canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/ueber-uns/organisation/vertretungen-kommissionen/jagdpruefungskommission,aargau,The page provides information about the Hunting Examination Commission and its members.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/test-dynamische-inhalte?dc=721ac306-c39b-46f6-8116-dcf8a0280080_de,aargau,Appears to be another login page for accessing electronic services of the cantonal administration.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/test-dynamische-inhalte?dc=58feb05c-897c-41eb-8c62-45f674124b72_de,aargau,Appears to be a login page for accessing electronic services of the cantonal administration.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/test-dynamische-inhalte?dc=0b054779-12a6-4da4-90a9-6922f0c4e2eb_de,aargau,Appears to be a login page for accessing electronic services of the cantonal administration.,,Yes,No,No,,
https://www.ag.ch/de/verwaltung/bvu/raumentwicklung/innenentwicklung/werkzeugkasten/werkzeugkasten-4,aargau,"Discusses planning tools for urban development, includes PDFs but not related to software.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/raumentwicklung/innenentwicklung/werkzeugkasten/werkzeugkasten-2,aargau,"The page offers a toolbox for municipalities and planners, providing various types of information and guidelines for internal development, including climate, housing for the elderly, and community-friendly designs.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/raumentwicklung/digitale-services,aargau,"The page discusses ePlanung, a digital service for paperless preliminary examination and approval procedures in land use planning.",ePlanung,Yes,No,Yes,Webpage,
https://www.ag.ch/de/verwaltung/bvu/mobilitaet-verkehr/strasseninfrastruktur/strassennetz/ortsdurchfahrten,aargau,The page discusses the importance of road design in urban areas and its impact on community life.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/mobilitaet-verkehr/strasseninfrastruktur/signalisation-und-markierungen/richtlinien,aargau,"The page provides guidelines and forms related to road signage and markings, including fees for signage requests and various types of wayfinders.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/mobilitaet-verkehr/strasseninfrastruktur/newsletter,aargau,"The page provides newsletters from the Department of Civil Engineering, covering various topics related to infrastructure but not specifically about software.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/mobilitaet-verkehr/mobilitaet/verkehrsdaten/verkehrserhebungen,aargau,The page is about traffic data collection and analysis in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/mobilitaet-verkehr/mobilitaet/aargaumobil/innovative-projekte,aargau,"The page discusses innovative projects in the field of mobility management in the Kanton Aargau, including digitalization and automated driving.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/mobilitaet-verkehr/fuss-veloverkehr,aargau,"The page outlines strategies and guidelines for the development of pedestrian and bicycle traffic in the Canton of Aargau, including safety measures and infrastructure planning.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/jagd-fischerei/fischerei/informationen-fuer-fischerinnen-und-fischer/wichtige-dokumente-termine,aargau,"The page provides various documents and reports related to fishing in the Kanton Aargau, including studies and guidelines.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/energie/bauen-energie/vollzugshilfen-und-formulare,aargau,"The page provides guidelines and forms related to energy laws and regulations, focusing on building and energy technology.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bvu/bauen/umweltvertraeglichkeitspruefung/unterlagen-uvp,aargau,"The page provides resources and guidelines related to environmental impact assessments, including PDF documents for various aspects of the process.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bks/ueber-uns/veroeffentlichungen/forschungsprojekte,aargau,"The page provides an overview of research projects supported by the Department of Education, Culture, and Sports, focusing on various educational topics.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bks/ueber-uns/extranets,aargau,"Describes various extranet portals for schools and other institutions, offering functionalities like job postings and document reporting.",,Yes,No,No,,
https://www.ag.ch/de/verwaltung/bks/sonderschulen-behindertenbetreuung/kinder-und-jugendliche/wohnen-und-entlastung,aargau,"The page provides information on housing and relief services for children, adolescents, and young adults with impairments or in social or familial distress.",,No,No,No,,
https://www.ag.ch/de/verwaltung/bks/sonderschulen-behindertenbetreuung/kinder-und-jugendliche/sonderschulung-und-berufsbildung,aargau,The page provides information on special schools and vocational training programs for children and young adults with disabilities.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bks/sonderschulen-behindertenbetreuung/kinder-und-jugendliche/ambulante-angebote,aargau,The page provides information on outpatient services for children and adolescents with disabilities in the canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bks/sonderschulen-behindertenbetreuung/fuer-einrichtungen/anerkannte-einrichtungen/finanzen,aargau,Discusses financial aspects of special needs care in the Canton of Aargau.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bks/kultur/kulturvermittlung/kultur-macht-schule/prozessor/gefoerderte-projekte?dc=775f70f7-3c28-4e66-a68a-770ebaf321c6_de,aargau,The page discusses a project where students engaged in creative activities related to urban planning and public spaces.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bks/kultur/kulturvermittlung/kultur-macht-schule/prozessor/gefoerderte-projekte?dc=15157866-b288-498c-ba75-b75c50679b9e_de,aargau,The page discusses an interdisciplinary project for students that focuses on the concept of rules in games and performances.,,No,No,No,,
https://www.ag.ch/de/verwaltung/bks/kultur/kulturvermittlung/kultur-macht-schule/angebote-fuer-schulklassen?dc=a5085d61-720e-4078-b953-7c556ac3de64_de,aargau,"Describes a workshop on graffiti and street art, including its history and techniques, for school classes.",,No,No,No,,
